"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000211611",160.421959379917,-7.54009237773688,1.06358952709322,-7.08928791198603,1.34803817376178e-12,2.56972768082304e-10,NA,NA
"ENSG00000185155",28.1687683404545,-5.04937848327115,0.712961447726143,-7.08226019706282,1.41822043958017e-12,2.68761115773616e-10,"MIXL1","83881"
"ENSG00000211645",17.386879051647,-5.26755481821035,0.743941870710766,-7.08060001136608,1.4353163402623e-12,2.70410241040294e-10,NA,NA
"ENSG00000180549",68.6612130567612,-3.29179072256256,0.465095259069748,-7.07766991464626,1.46598394426271e-12,2.73230521349403e-10,"FUT7","2529"
"ENSG00000261471",33.0691887155902,-4.5284245268859,0.639844176019534,-7.07738648971879,1.46898426502667e-12,2.73230521349403e-10,NA,NA
"ENSG00000187912",114.406514749855,-7.33438436163972,1.03640554905555,-7.07675134345173,1.47572978379675e-12,2.73230521349403e-10,"CLEC17A","388512"
"ENSG00000188822",201.860441521545,-3.47455725276076,0.491311550076774,-7.07200401093321,1.52712005845774e-12,2.8112971316157e-10,"CNR2","1269"
"ENSG00000223511",48.6394934788811,-4.34756439274515,0.616012786047207,-7.05758791248853,1.6941758439925e-12,3.10111187443535e-10,NA,NA
"ENSG00000211976",156.010491765065,-6.74991443635024,0.957482484820572,-7.04964795007727,1.79371025322856e-12,3.26475534000064e-10,NA,NA
"ENSG00000102575",621.961873930684,-2.54038451188435,0.36087384066746,-7.03953632988676,1.92880589410028e-12,3.49092194855812e-10,"ACP5","54"
"ENSG00000253364",32.5136843719687,-4.90174583547401,0.696578812150076,-7.0368862072393,1.96583265641674e-12,3.53805948933641e-10,"COPDA1","115253418"
"ENSG00000118513",102.766160350493,-3.9687603285172,0.56472848195923,-7.0277318309646,2.0991784787274e-12,3.75706299281567e-10,"MYB","4602"
"ENSG00000211956",817.587123232179,-5.89559451472651,0.839854942994762,-7.01977712211105,2.22222441869659e-12,3.9553139156204e-10,NA,NA
"ENSG00000048462",117.687636538538,-4.89436923688129,0.697315793348752,-7.01887047958118,2.23668998483e-12,3.95918706325732e-10,"TNFRSF17","608"
"ENSG00000242258",57.0940473326356,-4.56014128174541,0.650937757901471,-7.00549511284557,2.4611392599744e-12,4.33268100542815e-10,"LINC00996","285972"
"ENSG00000211772",2662.53739416883,-3.52080129591864,0.502632047185218,-7.00472903714642,2.4746428969801e-12,4.33277693310386e-10,NA,NA
